"Day","Product variant SKU","Product ID","Orders","Gross sales","Discounts","Returns","Net sales","Shipping charges","Duties","Additional fees","Taxes","Total sales","Net items sold","Day (previous_period)","Orders (previous_period)","Gross sales (previous_period)","Discounts (previous_period)","Returns (previous_period)","Net sales (previous_period)","Shipping charges (previous_period)","Duties (previous_period)","Additional fees (previous_period)","Taxes (previous_period)","Total sales (previous_period)","Net items sold (previous_period)","Orders (previous_period) ","Gross sales (previous_period) ","Discounts (previous_period) ","Returns (previous_period) ","Net sales (previous_period) ","Shipping charges (previous_period) ","Duties (previous_period) ","Additional fees (previous_period) ","Taxes (previous_period) ","Total sales (previous_period) ","Net items sold (previous_period) "
"2026-05-01","STP2-36",8279995318459,2,5180,0,0,5180,0,0,0,0,5180,2,"2026-04-06",0,0,0,-2590,-2590,0,0,0,0,-2590,-1,,,,100,300,,,,,300,300
"2026-05-01","PV17-38",7903698190523,0,0,0,0,0,0,0,0,0,0,0,"2026-04-06",1,1790,0,0,1790,0,0,0,0,1790,1,-100,-100,,,-100,,,,,-100,-100
"2026-05-01","PV174-32",8008723759291,1,1590,0,0,1590,0,0,0,0,1590,1,"2026-04-06",0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,
"2026-05-01","PVR191-38",8071059407035,2,4580,0,0,4580,0,0,0,0,4580,2,"2026-04-06",0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,
"2026-05-01","SS7-M",8076569149627,1,990,0,0,990,0,0,0,0,990,1,"2026-04-06",0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,
"2026-05-01","PT6-32",8017495785659,2,3980,0,0,3980,0,0,0,0,3980,2,"2026-04-06",0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,
"2026-05-01","JR24-36",8154533822651,0,0,0,0,0,0,0,0,0,0,0,"2026-04-06",1,2590,0,0,2590,0,0,0,0,2590,1,-100,-100,,,-100,,,,,-100,-100
"2026-05-01","PVR187-36",8071057506491,6,18320,0,0,18320,0,0,0,0,18320,8,"2026-04-06",0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,
"2026-05-01","PVRT3-36",8136055783611,0,0,0,0,0,0,0,0,0,0,0,"2026-04-06",3,7770,0,-2590,5180,0,0,0,0,5180,2,-100,-100,,100,-100,,,,,-100,-100
"2026-05-01","LP10-30",8276466368699,1,1990,0,0,1990,0,0,0,0,1990,1,"2026-04-06",0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,
"2026-05-01","PVRM3-40",8248608751803,1,2290,0,0,2290,0,0,0,0,2290,1,"2026-04-06",0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,
"2026-05-01","LP11-36",8276466860219,2,3980,0,0,3980,0,0,0,0,3980,2,"2026-04-06",1,1990,0,0,1990,0,0,0,0,1990,1,100,100,,,100,,,,,100,100
"2026-05-01","PVRM2-34",8248608555195,1,2290,0,0,2290,0,0,0,0,2290,1,"2026-04-06",1,2290,0,0,2290,0,0,0,0,2290,1,0,0,,,0,,,,,0,0
"2026-05-01","BD7-36",8220304769211,0,0,0,0,0,0,0,0,0,0,0,"2026-04-06",1,1590,0,0,1590,0,0,0,0,1590,1,-100,-100,,,-100,,,,,-100,-100
"2026-05-01","PVRM1-34",8248603771067,2,4580,0,0,4580,0,0,0,0,4580,2,"2026-04-06",0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,
"2026-05-01","K157-38",8030319542459,1,1490,0,0,1490,0,0,0,0,1490,1,"2026-04-06",0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,
"2026-05-01","SP8-XL",8210946490555,0,0,0,0,0,0,0,0,0,0,0,"2026-04-06",1,1245,0,0,1245,0,0,0,0,1245,1,-100,-100,,,-100,,,,,-100,-100
"2026-05-01","JR6-32",7980599967931,3,5970,0,0,5970,0,0,0,0,5970,3,"2026-04-06",0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,
"2026-05-01","CHR2-40",8275224494267,1,1990,0,0,1990,0,0,0,0,1990,1,"2026-04-06",0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,
"2026-05-01","J30-32",7181458702523,1,1990,0,0,1990,0,0,0,0,1990,1,"2026-04-06",0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,
"2026-05-01","PVRT4-30",8136379990203,0,0,0,0,0,0,0,0,0,0,0,"2026-04-06",1,2590,0,0,2590,0,0,0,0,2590,1,-100,-100,,,-100,,,,,-100,-100
"2026-05-01","JR37-30",8160085475515,1,2590,0,0,2590,0,0,0,0,2590,1,"2026-04-06",1,2590,0,0,2590,0,0,0,0,2590,1,0,0,,,0,,,,,0,0
"2026-05-01","CMPV17",5679901114522,1,3315.5,0,0,3315.5,0,0,0,0,3315.5,1,"2026-04-06",0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,
"2026-05-01","PV191-38",8192556204219,1,1790,0,0,1790,0,0,0,0,1790,1,"2026-04-06",0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,
"2026-05-01","JR6-36",7980599967931,2,3980,0,0,3980,0,0,0,0,3980,2,"2026-04-06",0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,
"2026-05-01","STP1-36",8279991779515,2,5180,0,0,5180,0,0,0,0,5180,2,"2026-04-06",0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,
"2026-05-01","PV10-34",7903698157755,3,5970,0,0,5970,0,0,0,0,5970,3,"2026-04-06",0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,
"2026-05-01","K180-38",8225222394043,1,1990,0,0,1990,0,0,0,0,1990,1,"2026-04-06",0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,
"2026-05-01","CSP2-M",8268881330363,1,1990,0,0,1990,0,0,0,0,1990,1,"2026-04-06",0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,
"2026-05-01","CMPV24",7055408955579,2,5235,0,0,5235,0,0,0,0,5235,2,"2026-04-06",0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,
"2026-05-01","J6-32",7946385096891,1,1990,0,0,1990,0,0,0,0,1990,1,"2026-04-06",0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,
"2026-05-01","CMPV159",7891750322363,2,7182,0,0,7182,0,0,0,0,7182,2,"2026-04-06",0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,
"2026-05-01","PVRM3-32",8248608751803,1,2290,0,-2290,0,0,0,0,0,0,0,"2026-04-06",0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,
"2026-05-01","CR232-30",8073702539451,1,1990,0,0,1990,0,0,0,0,1990,1,"2026-04-06",0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,
"2026-05-01","PV24-34",7903697928379,1,1990,0,0,1990,0,0,0,0,1990,1,"2026-04-06",0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,
"2026-05-01","JR37-42",8160085475515,1,2590,0,0,2590,0,0,0,0,2590,1,"2026-04-06",1,2590,0,0,2590,0,0,0,0,2590,1,0,0,,,0,,,,,0,0
"2026-05-01","J6-34",7946385096891,2,3980,0,0,3980,0,0,0,0,3980,2,"2026-04-06",1,1790,0,0,1790,0,0,0,0,1790,1,100,122.346,,,122.346,,,,,122.346,100
"2026-05-01","STP5-36",8279997677755,1,2590,0,0,2590,0,0,0,0,2590,1,"2026-04-06",0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,
"2026-05-01","JOG1-XXL",8178608373947,0,0,0,0,0,0,0,0,0,0,0,"2026-04-06",1,1245,0,0,1245,0,0,0,0,1245,1,-100,-100,,,-100,,,,,-100,-100
"2026-05-01","PVR168-32",8092464447675,1,2590,0,0,2590,0,0,0,0,2590,1,"2026-04-06",1,2590,0,0,2590,0,0,0,0,2590,1,0,0,,,0,,,,,0,0
"2026-05-01","JR22-44",8154530545851,1,2590,0,0,2590,0,0,0,0,2590,1,"2026-04-06",0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,
"2026-05-01","PV191-36",8192556204219,0,0,0,0,0,0,0,0,0,0,0,"2026-04-06",1,1182.58,0,0,1182.58,0,0,0,0,1182.58,1,-100,-100,,,-100,,,,,-100,-100
"2026-05-01","PV134-34",7909943967931,3,5970,0,0,5970,0,0,0,0,5970,3,"2026-04-06",0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,
"2026-05-01","J6-36",7946385096891,1,1990,0,0,1990,0,0,0,0,1990,1,"2026-04-06",0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,
"2026-05-01","PT8-36",8017494376635,0,0,0,0,0,0,0,0,0,0,0,"2026-04-06",1,1990,0,0,1990,0,0,0,0,1990,1,-100,-100,,,-100,,,,,-100,-100
"2026-05-01","K188-42",8279989190843,0,0,0,0,0,0,0,0,0,0,0,"2026-04-06",0,0,0,-2590,-2590,0,0,0,0,-2590,-1,,,,100,100,,,,,100,100
"2026-05-01","JR36-38",8225088635067,1,1790,0,0,1790,0,0,0,0,1790,1,"2026-04-06",0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,
"2026-05-01","JR32-38",8201410248891,1,2290,0,0,2290,0,0,0,0,2290,1,"2026-04-06",2,4580,0,0,4580,0,0,0,0,4580,2,-50,-50,,,-50,,,,,-50,-50
"2026-05-01","LP10-38",8276466368699,0,0,0,0,0,0,0,0,0,0,0,"2026-04-06",1,1990,0,0,1990,0,0,0,0,1990,1,-100,-100,,,-100,,,,,-100,-100
"2026-05-01","CMPV235",8387906568379,1,3790.5,0,0,3790.5,0,0,0,0,3790.5,1,"2026-04-06",0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,
"2026-05-01","JR34-42",8225071530171,1,1790,0,0,1790,0,0,0,0,1790,1,"2026-04-06",0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,
"2026-05-01","PVR192-36",8071059800251,1,2290,0,0,2290,0,0,0,0,2290,1,"2026-04-06",0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,
"2026-05-01","STP4-40",8279997579451,0,0,0,0,0,0,0,0,0,0,0,"2026-04-06",1,2590,0,0,2590,0,0,0,0,2590,1,-100,-100,,,-100,,,,,-100,-100
"2026-05-01","CHR3-34",8275992281275,1,1990,0,0,1990,0,0,0,0,1990,1,"2026-04-06",0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,
"2026-05-01","PV2-36",7992988532923,2,3980,0,0,3980,0,0,0,0,3980,2,"2026-04-06",0,0,0,-1990,-1990,0,0,0,0,-1990,-1,,,,100,300,,,,,300,300
"2026-05-01","PV2-32",7992988532923,1,1990,0,0,1990,0,0,0,0,1990,1,"2026-04-06",0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,
"2026-05-01","PV17-42",7903698190523,1,1790,0,0,1790,0,0,0,0,1790,1,"2026-04-06",1,1790,0,0,1790,0,0,0,0,1790,1,0,0,,,0,,,,,0,0
"2026-05-01","K25-38",7902973100219,3,5970,0,0,5970,0,0,0,0,5970,3,"2026-04-06",0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,
"2026-05-01","K25-40",7902973100219,1,1990,0,0,1990,0,0,0,0,1990,1,"2026-04-06",0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,
"2026-05-01","JR2-38",7980574277819,2,5180,0,0,5180,0,0,0,0,5180,2,"2026-04-06",1,2590,0,0,2590,0,0,0,0,2590,1,100,100,,,100,,,,,100,100
